name,skills,interest_area
Orlando H.,"['Excel Macros', 'Excel Recursos VB', 'Excel VBA', 'Microsoft Access', 'Python', 'SQL']","['Desenvolvimento Web', 'Comercial', 'Teste de Software', 'Outra - Web, Mobile & Software', 'Análise de Dados & Estatística']"
Julio M.,"['Business Intelligence', 'PL/SQL', 'Aprendizado de Máquina (ML)', 'Ciência de Dados', 'Python', 'Análise de Dados', 'Análise Estatística']","['Banco de Dados', 'Cloud Computing', 'Análise de Dados & Estatística']"
Carlos E.,"['Aprendizado de Máquina (ML)', 'MySQL', 'Python']","['Banco de Dados', 'Desenvolvimento de Games', 'Cloud Computing', 'Desenvolvimento Desktop', 'Teste de Software']"
Lucas P.,"['ABBYY FineReader', 'Framework JavaScript', 'HTML5', 'Linux', 'Python', 'SQL']","['Banco de Dados', 'Desenvolvimento de Games', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Jéssica,"['Android', 'CSS', 'Design de Website', 'HTML', 'HTML5', 'Java', 'Javascript', 'MySQL', 'eCommerce', 'Wordpress']","['UX/UI & Web Design', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Renato M.,"['Análise de Métricas', 'Banco De Dados', 'Entrada de Dados', 'Estatísticas', 'Business Intelligence', 'Pesquisa Científica', 'Pesquisa de Campo', 'Pesquisa de Marketing', 'Pesquisa de Mercado']","['Banco de Dados', 'Pesquisa de Mercado', 'Outra - Design & Criação', 'Planilhas e Relatórios', 'Entrada de Dados', 'Outra - Suporte Administrativo', 'Análise de Dados & Estatística', 'Outra - Administração & Contabilidade', 'Pesquisa Online', 'Negócios & Finanças', 'Tecnologia da Informação', 'Outra - Educação & Consultoria']"
Ana A.,"['Análise de Dados', 'CRM', 'E-mail Marketing', 'eCommerce', 'Estratégia de Marketing', 'Metodologias ágeis', 'Pautas', 'Redação Comercial', 'Redação SEO', 'SEO', 'Apresentação', 'Jornalismo De Moda', 'Moda', 'Planejamento de Comunicação', 'Planejamento de Marketing', 'Redação', 'Redação de Blogs', 'Redação de Conteúdo', 'Social Media', 'Adobe Photoshop', 'Brainstorming', 'Catálogo de Produtos Facebook', 'Comunicação Digital', 'Comunicação Visual', 'Estratégia de Conteúdo', 'Facebook', 'Google Analytics', 'Instagram', 'Redes Sociais', 'Web Analytics']","['Design Gráfico', 'SEO - Search Engine Optimization', 'Redação', 'Edição & Revisão', 'Atendimento ao Consumidor', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Pesquisa de Mercado', 'Outra - Design & Criação', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Outra - Atendimento ao Consumidor', 'Copywriting', 'Currículo & Carta de Apresentação', 'Pesquisa Online', 'Transcrição', 'Assessoria de Imprensa', 'Design & Criação', 'Escrita & Conteúdo', 'Vendas & Marketing']"
Felipe W.,"['Banco de Dados Oracle', 'ETL', 'Microsoft Office', 'Pentaho', 'Power BI\xa0', 'SQL', 'Google Data Studio', 'PL/SQL', 'Python', 'SQL Server']","['UX/UI & Web Design', 'Banco de Dados', 'Outra - Web, Mobile & Software']"
Junior L.,"['Android', 'Arduino', 'ABBYY FineReader', 'Django', 'Javascript', 'ABAP', 'Python']","['Banco de Dados', 'Desenvolvimento Mobile', 'Inglês', 'Desenvolvimento Web', 'Desenvolvimento Desktop']"
Marianna P.,"['Artigos Acadêmicos', 'Artigos de Turismo', 'Artigos Esportivos', 'Artigos Médicos', 'Boa Escrita', 'Business Intelligence', 'ABBYY FineReader', 'Salesforce', 'Tradução', 'Transcrição']","['SEO - Search Engine Optimization', 'Inglês', 'Comercial', 'Outra - Vendas & Marketing', 'Outra - Tradução']"
Pablo D.,"['Excel', 'Comunicação Corporativa', 'Finanças', 'Follow-up', 'Boa Escrita', 'Matemática', 'Mercado Financeiro', 'Contratos', 'Administração', 'Atendimento ao Cliente', 'Comercial', 'Consultoria', 'Gestão e Análise de Contas a Pagar', 'Gestão e Análise de Contas a Receber', 'Gestão De Pessoas', 'Microsoft Office', 'Planejamento', 'Agilidade', 'AS3', 'Banco De Dados', 'Comprometimento', 'Comunicação Externa', 'Criatividade', 'Digitação', 'Edição de Textos', 'Liderança', 'Linux', 'Assistente Virtual', 'ABBYY FineReader', 'Business Intelligence']","['Atendimento ao Consumidor', 'Comercial', 'Apresentação', 'Assistente Virtual', 'Planilhas e Relatórios', 'Entrada de Dados', 'Outra - Suporte Administrativo', 'Análise de Dados & Estatística', 'Contabilidade', 'Gestão de Projetos', 'Financeiro', 'Recursos Humanos', 'Outra - Administração & Contabilidade', 'Suporte Técnico', 'Outra - Atendimento ao Consumidor', 'Pesquisa Online', 'Consultoria Pessoal', 'Negócios & Finanças', 'Tecnologia da Informação', 'Outra - Educação & Consultoria']"
Ábia M.,"['Estatísticas', 'Excel', 'Matemática', 'ABBYY FineReader', 'Pesquisa Científica']","['Banco de Dados', 'Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística', 'Pesquisa Online']"
Pedro H.,"['Excel', 'Excel Macros', 'NumPy', 'Python', 'Automação de processos robóticos', 'CRM']","['Banco de Dados', 'Teste de Software', 'Planilhas e Relatórios', 'Entrada de Dados']"
Mauricio S.,"['Escrita Técnica', 'Geolocalização', 'Pesquisa Científica', 'Estatísticas', 'Transcrição', 'Banco De Dados', 'Mineração de Dados', 'ABBYY FineReader', 'Excel', 'Python']","['Banco de Dados', 'Análise de Dados & Estatística', 'Agricultura', 'Escrita & Conteúdo']"
Thiago B.,"['Angular', 'Django', 'GIT', 'Inglês Avançado', 'Linux', 'Python']","['UX/UI & Web Design', 'Desenvolvimento Web']"
Jorge B.,"['Banco De Dados', 'Email Marketing', 'Facebook', 'Google Adsense', 'Google Analytics', 'Python', 'Wordpress', 'Business Intelligence', 'Excel']","['Banco de Dados', 'SEO - Search Engine Optimization', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Outra - Web, Mobile & Software']"
Fernando R.,"['Estatísticas', 'Excel', 'Matemática', 'Python', 'SQL', 'Análise de Dados', 'Linguagem de Programação R']","['Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Financeiro', 'Consultoria Pessoal']"
William J.,"['Análise Estatística', 'Escrita Técnica', 'Inteligência Artificial', 'Modelagem Estatística', 'Testes A/B', 'Aprendizado de Máquina (ML)', 'Python', 'Análise de Dados', 'Aprendizagem Profunda', 'Ciência de Dados']","['Redação', 'Análise de Dados & Estatística', 'Engenharia & Arquitetura', 'Tecnologia da Informação']"
Oseias B.,"['Banco De Dados', 'Banco de Dados Relacionais', 'Big Data', 'Business Intelligence', 'Datatables', 'Desenvolvimento de Banco de Dados', 'Inteligência Artificial', 'Modelagem Estatística', 'Visualização de Dados']","['Banco de Dados', 'Cloud Computing', 'Outra - Web, Mobile & Software']"
Luis F.,"['CSS', 'Golang', 'HTML', 'Javascript', 'Python', 'React']","['Desenvolvimento Web', 'Cloud Computing', 'Teste de Software', 'Outra - Web, Mobile & Software']"
Thiago R.,"['ABBYY FineReader', 'Python']","['Banco de Dados', 'Desenvolvimento Web', 'Outra - Web, Mobile & Software']"
Myrla R.,"['Análise Estatística', 'Facebook Marketing', 'Google Analytics', 'Linguagem de Programação R', 'Marketing', 'Marketing de Conteúdo', 'Marketing Digital', 'Powerpoint']","['Marketing Digital', 'Gestão de Mídias Sociais', 'Análise de Dados & Estatística', 'Copywriting', 'Vendas & Marketing']"
Raissa V.,"['Artigos Acadêmicos', 'Assistente Virtual', 'Bilíngue', 'ABBYY FineReader', 'Design Educacional', 'Escrita Técnica', 'Matemática']","['Design Gráfico', 'Apresentação', 'Logotipos', 'Escrita & Conteúdo', 'Idiomas']"
Cecília B.,"['Business Intelligence', 'Estatísticas', 'Google Analytics', 'Agronegócio', 'Banco De Dados', 'eCommerce', 'ETL', 'Excel']","['Banco de Dados', 'Comercial', 'Pesquisa de Mercado', 'Outra - Vendas & Marketing', 'Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Pesquisa Online', 'Agricultura', 'Consultoria Pessoal', 'Escrita & Conteúdo', 'Fundamental & Ensino Médio', 'Idiomas', 'Negócios & Finanças', 'Saúde & Fitness', 'Vendas & Marketing', 'Outra - Educação & Consultoria']"
